FILE,LABEL
../data/raw/virus/virus_891.jpeg,virus
../data/raw/virus/virus_1121.jpeg,virus
../data/raw/virus/virus_792.jpeg,virus
../data/raw/virus/virus_1476.jpeg,virus
../data/raw/virus/virus_393.jpeg,virus
../data/raw/virus/virus_638.jpeg,virus
../data/raw/virus/virus_1263.jpeg,virus
../data/raw/virus/virus_767.jpeg,virus
../data/raw/virus/virus_1419.jpeg,virus
../data/raw/virus/virus_824.jpeg,virus
../data/raw/virus/virus_1103.jpeg,virus
../data/raw/virus/virus_291.jpeg,virus
../data/raw/virus/virus_585.jpeg,virus
../data/raw/virus/virus_1014.jpeg,virus
../data/raw/virus/virus_1366.jpeg,virus
../data/raw/virus/virus_541.jpeg,virus
../data/raw/virus/virus_944.jpeg,virus
../data/raw/virus/virus_179.jpeg,virus
../data/raw/virus/virus_432.jpeg,virus
../data/raw/virus/virus_529.jpeg,virus
../data/raw/virus/virus_1161.jpeg,virus
../data/raw/virus/virus_485.jpeg,virus
../data/raw/virus/virus_1170.jpeg,virus
../data/raw/virus/virus_1465.jpeg,virus
../data/raw/virus/virus_798.jpeg,virus
../data/raw/virus/virus_835.jpeg,virus
../data/raw/virus/virus_1174.jpeg,virus
../data/raw/virus/virus_1125.jpeg,virus
../data/raw/virus/virus_446.jpeg,virus
../data/raw/virus/virus_1315.jpeg,virus
../data/raw/virus/virus_526.jpeg,virus
../data/raw/virus/virus_928.jpeg,virus
../data/raw/virus/virus_1077.jpeg,virus
../data/raw/virus/virus_537.jpeg,virus
../data/raw/virus/virus_159.jpeg,virus
../data/raw/virus/virus_628.jpeg,virus
../data/raw/virus/virus_1025.jpeg,virus
../data/raw/virus/virus_119.jpeg,virus
../data/raw/virus/virus_1471.jpeg,virus
../data/raw/virus/virus_1244.jpeg,virus
../data/raw/virus/virus_1091.jpeg,virus
../data/raw/virus/virus_385.jpeg,virus
../data/raw/virus/virus_1437.jpeg,virus
../data/raw/virus/virus_1365.jpeg,virus
../data/raw/virus/virus_1242.jpeg,virus
../data/raw/virus/virus_454.jpeg,virus
../data/raw/virus/virus_566.jpeg,virus
../data/raw/virus/virus_050.jpeg,virus
../data/raw/virus/virus_1433.jpeg,virus
../data/raw/virus/virus_290.jpeg,virus
../data/raw/virus/virus_864.jpeg,virus
../data/raw/virus/virus_131.jpeg,virus
../data/raw/virus/virus_124.jpeg,virus
../data/raw/virus/virus_1302.jpeg,virus
../data/raw/virus/virus_829.jpeg,virus
../data/raw/virus/virus_320.jpeg,virus
../data/raw/virus/virus_1449.jpeg,virus
../data/raw/virus/virus_867.jpeg,virus
../data/raw/virus/virus_305.jpeg,virus
../data/raw/virus/virus_602.jpeg,virus
../data/raw/virus/virus_085.jpeg,virus
../data/raw/virus/virus_1327.jpeg,virus
../data/raw/virus/virus_565.jpeg,virus
../data/raw/virus/virus_941.jpeg,virus
../data/raw/virus/virus_1397.jpeg,virus
../data/raw/virus/virus_1274.jpeg,virus
../data/raw/virus/virus_787.jpeg,virus
../data/raw/virus/virus_1246.jpeg,virus
../data/raw/virus/virus_479.jpeg,virus
